Model Index,A2_PC1,A2_PC2,U2_PC1,U2_PC2,S11_PC1,S11_PC2,damage_type,severity_level
111,32.6535417622536,14.0318498187106,28.5972588913462,-3.82111376334132,13.5944172807247,27.0445170764556,1,0
112,26.2171121749035,-7.5960254910977,28.1109509190642,-3.94185445464665,17.2271763943706,18.5442027429423,1,0
1,-8.58864370272152,-12.6031693683967,-19.5704993834978,7.12955887773095,-41.4574315779791,-50.6899624567583,1,1
2,24.7416340332076,-10.7205492221412,15.905947339898,5.80084235072961,55.0487222242682,26.6214359186742,1,1
3,22.2467725650342,-10.4426041488053,15.8964308123271,6.11275359990535,60.2460302260965,-34.9115747569342,1,1
4,-17.0437820631531,-12.3204851260982,-19.9565789332096,1.99510935364138,-52.2095249412467,49.9062187431851,1,1
5,8.69378671822513,-12.2838039444642,0.0216424685171516,-32.25209105019,6.3150061058281,-4.65431066918564,1,1
6,2.39585259345234,-11.7887746260058,-0.537112471723356,-30.7391908512864,3.26246789076649,13.4007423620647,1,1
7,8.30058984287821,-11.681783281967,-3.82983772837505,45.1770870990813,7.38046330518575,-19.44644301402,1,1
8,1.39164397433747,-11.1068339838835,-3.68244386127604,38.8311681040071,4.84672036323013,1.59266635929848,1,1
9,20.5430642146991,-10.593430075309,22.3088681077358,7.43041467577607,-6.90758283995089,-3.99466368653792,1,1
10,28.1428216568255,-10.6850251950205,29.5700283597246,7.37421951644902,0.192789788973197,-7.99692327073079,1,1
11,30.9078648750119,-10.4606952945771,29.929383116019,7.07445172106825,24.6339523547241,-1.92883561699079,1,1
12,26.7568556971844,-10.6013872199426,29.5553661263091,6.91354792958199,-1.17629879167771,3.80430945707229,1,1
13,18.4693833964527,-10.6034545063253,22.31875580338,7.35716598293457,-7.57758544214328,1.83818689816378,1,1
14,-13.2797461032889,-12.443314218084,-19.747573657192,2.93500373885107,-43.3131127273038,-0.579758285338298,1,1
15,-12.7662627373486,-12.4995379302175,-19.4810195378808,6.2059401089419,-50.121057210342,-0.212063345843618,1,1
16,24.2643325295477,-10.8692521558647,16.4651503972726,3.68434479612283,54.3104384348466,-2.47043488792039,1,1
17,24.3409938935383,-10.8606468237365,15.4962864684192,8.23828461693993,60.5949084012459,-5.80666585410304,1,1
18,19.4944883486506,-10.7258785870478,23.2129399006568,-7.81587195958638,-7.28940202874247,-1.43419775514292,1,1
19,27.4871901910438,-10.70403736418,29.9825237227234,-1.88623709393459,-0.266841238700282,0.538762216338558,1,1
20,28.7889905551783,-10.5061453225684,29.6725058766606,7.27650683089081,10.3807797062623,2.75195633943142,1,1
21,26.9723436793019,-10.7784948234262,22.4371150451132,12.5714011074152,31.1289078621171,1.70015490154688,1,1
22,28.6073644016148,-10.8286669668108,23.4199945119285,-0.352480079621358,37.5584682881202,18.5419660692767,1,1
23,1.34331964519043,-11.3229912482148,0.197422016241165,23.0818529376666,-28.4752799221296,24.2370803826385,1,1
24,28.9435196871145,27.493917930178,39.8923560005476,7.29082415648129,-10.0865322910577,-1.83505934229154,1,1
25,28.9716642831737,27.4676204440929,39.8868690194954,7.38194563416542,-10.1375765143595,-1.8863716567554,1,1
26,31.7917522456885,-10.1741136116306,39.5226425150218,7.7814397289852,-2.73802894823154,4.37830074775228,1,1
27,31.7844829819855,-10.1642535716914,39.525982535784,7.72412814046783,-2.70914663385824,4.36658543820885,1,1
28,31.7820338102339,-10.255517380403,39.5200080556969,7.67607019043406,-2.68794590976204,-7.37866007558905,1,1
29,31.7885879158514,-10.2593752164544,39.5165798501176,7.73457662242208,-2.71553752021195,-7.38153778169633,1,1
30,29.5881336501147,28.2643165877243,39.9960249316356,8.24433033632841,-9.26087195612756,4.19975925913912,1,1
31,29.6010643381104,28.2417297180391,39.9907127896951,8.33278189556294,-9.31158280605196,4.15384364393576,1,1
32,5.78335178663519,-11.9846765090611,3.26632502780119,-28.24445869645,-20.6550507891892,-29.2597860186123,1,1
33,26.9888966294812,-10.8836405936901,23.6047056378311,-8.92863882735544,24.1918835981477,19.9218083489103,1,1
34,26.7553107184757,-10.5687484071138,23.2195222290338,-5.79562806091901,40.5621638531099,-7.98666986080961,1,1
35,4.94377145345919,-11.8148946299449,6.55899249869011,-25.912511631946,-26.9898782910027,26.2575355398764,1,1
36,0.496204666446867,-11.79342470694,3.24311292431516,-28.8436407332488,-30.8755899250253,24.0865627294518,1,1
