Model_Index,mean_A2,std_A2,var_A2,median_A2,skew_A2,damage_type,severity_level,mean_S11,std_S11,var_S11,median_S11,skew_S11,mean_U2,std_U2,var_U2,median_U2,skew_U2
57,-0.0017525081140443,0.306830907707653,0.0941452059247022,0.0,-1.3668575959526117,0,0,1868920.983568388,15121883.845531875,228671371037757.97,154326.305,0.0100820472361227,-0.0001466733177001,0.0007449044214072,5.548825970320808e-07,-0.0002100288547808,1.7252027482193597
58,-0.0017525081085196,0.3068309077124482,0.0941452059276449,0.0,-1.3668575959150624,0,0,1868920.9835515856,15121883.845359655,228671371032549.3,154326.305,0.0100820472936669,-0.0001466733177002,0.0007449044214072,5.548825970320315e-07,-0.0002100288547808,1.7252027482201362
59,-0.0015667933020304,0.3063164927426292,0.0938297937261452,0.0,-1.4135144204353165,0,0,1868972.9025070968,15121990.8036871,228674605866797.25,157853.065,0.0100841001375464,-0.0001473406225518,0.0007433321631454,5.525427047664561e-07,-0.0002100462297676,1.7241450459182512
60,-0.0015667932890591,0.3063164926866066,0.0938297936918239,0.0,-1.4135144195567388,0,0,1868972.902420349,15121990.80382513,228674605870971.8,157853.065,0.0100841001169554,-0.0001473406226909,0.000743332162596,5.525427039496886e-07,-0.0002100462297676,1.7241450410514558
61,-0.0015668252950036,0.3062531766227513,0.0937910081915261,0.0,-1.413048423377918,0,0,1868987.8515870925,15121847.5228647,228670272504769.2,157930.525,0.0100652627819132,-0.000147547356208,0.0007433614900957,5.525863049574062e-07,-0.0002102390426443,1.7232645700108322
62,-0.0015668253021899,0.3062531766321477,0.0937910081972814,0.0,-1.4130484229477536,0,0,1868987.8514074085,15121847.523078918,228670272511248.0,157930.515,0.0100652627780165,-0.000147547356208,0.0007433614900957,5.525863049574074e-07,-0.0002102390426443,1.7232645700108342
63,-0.0015650537234235,0.3063619130948577,0.0938576217951411,0.0,-1.413941596039102,0,0,1868976.068856313,15121905.289074171,228672019571729.44,158146.875,0.010078080089008,-0.0001471445658821,0.0007433179277068,5.525215416504047e-07,-0.0002098843397106,1.7251110661815834
64,-0.0015651112403673,0.306362378526047,0.0938579069761369,0.0,-1.4139410649229476,0,0,1868975.864333463,15121903.681791583,228671970961381.8,157808.03,0.0100781693731257,-0.0001471446719496,0.0007433175374719,5.525209615133817e-07,-0.0002098843397106,1.7251072205802374
65,-0.0014247625303174,0.3050572949533128,0.0930599532042324,0.0,-1.3799791312279988,0,0,1869011.633060254,15121869.287796251,228670930757195.5,158097.705,0.0100777319918922,-0.0001471798840895,0.00074321696247,5.523714533032307e-07,-0.0002098945260513,1.7245492033317371
66,-0.0014249337616277,0.3050553752316453,0.0930587819577199,0.0,-1.3801856984999543,0,0,1869011.6253224795,15121869.295769269,228670930998329.3,157809.16,0.0100777158177004,-0.0001471796228613,0.0007432181824326,5.523732666985647e-07,-0.0002098927943734,1.7245623055448895
67,-0.0015650770256814,0.3063628565176861,0.0938581998536763,0.0,-1.413938786835795,0,0,1868975.07013978,15122263.87463184,228682864693995.2,159535.75,0.0100592721621704,-0.0001471442409702,0.0007433214787909,5.525268208320382e-07,-0.000209884281503,1.7251000286561629
